icd_code,description,icd_code_prefix,category
mYv,nqjrfizlyix,8,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
mwoNF,sHsWUPphNODkhcjkT,2,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
yKXGx,fZlZUrTYkZM,8,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
zNzq,kmqIPBnCLe,4,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
JHU,OEWGG VcaHl,3,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
LLtJt,jzEkiXeDSCnup,1,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
pRia,TRtTQjdByAF AVC,9,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
eel,kwbWfxHHnt,10,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
Uitw,RisO urXkfDeYZlAqk,1,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
Tfgm,nYTXmUQaAEfJEPZ,3,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
wpDax,IlVIaXsrmexhVbXnpT,6,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
bpNcf,MBYNlACzMZKtdomkr,4,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
ANj,aTtsiEyupCOqLmRWekMc,4,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
tKiO,puCGSxMjIXi JpfcfzW,2,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
lZf,kgxgZSgBM AVbXCP,6,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
hMzKo,PFOFuAlViEsBMsgclQs,7,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
SijP,lOSuURUKQdQvKwdBS,5,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
gHmHf,OFyZwhlQhhxUJjt,4,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
nga,kEuEFNcDeHCVbWlQ Fok,3,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
NXjoU,arCmjpdOgQXpVO,7,f2a0a41e-bbd3-4c92-acd6-54eef6d8b419
